lon,lat,obs,pred
-17.85,4.250000000000003,0.04,0.8846213
-17.85,4.350000000000011,0.010000001,1.0564535
-17.85,4.4500000000000055,0.02,1.2325213
-17.85,4.55,0.065,1.3070512
-17.85,4.650000000000008,0.04,1.5346017
-17.85,4.750000000000003,0.0,1.7680812
-17.85,4.850000000000011,0.0,1.9424715
-17.85,4.9500000000000055,0.0050000004,2.1429985
-17.85,5.05,0.044999998,2.5189922
-17.85,5.150000000000008,0.52,3.4450305
-17.85,5.250000000000003,1.145,4.215075
-17.85,5.350000000000011,2.9100003,4.9408855
-17.85,5.4500000000000055,4.755001,5.695803
-17.85,5.55,0.8949999,6.469352
-17.85,5.650000000000008,1.2299999,7.0119605
-17.85,5.750000000000003,1.1999999,7.606316
-17.85,5.850000000000011,0.585,8.949224
-17.85,5.9500000000000055,0.20499998,9.539303
-17.85,6.05,0.86999995,9.602127
-17.85,6.150000000000008,0.75,10.366167
-17.85,6.250000000000003,0.20499998,10.458876
-17.85,6.350000000000011,0.28499994,10.732183
-17.85,6.4500000000000055,0.099999994,11.895462
-17.85,6.55,0.04,12.565572
-17.85,6.650000000000008,0.075,13.503135
-17.85,6.750000000000003,0.62,14.866171
-17.85,6.850000000000011,0.575,16.122213
-17.85,6.9500000000000055,0.195,15.790471
-17.85,7.05,0.18,16.256355
-17.85,7.150000000000008,0.585,17.853924
-17.85,7.250000000000003,0.52500004,18.742361
-17.85,7.350000000000011,1.38,20.724014
-17.85,7.4500000000000055,1.6549999,22.685152
-17.85,7.55,5.1450005,22.383562
-17.85,7.650000000000008,0.48000002,22.82448
-17.85,7.750000000000003,0.24,24.310474
-17.85,7.850000000000011,0.035000004,25.365965
-17.85,7.9500000000000055,0.04,23.734028
-17.85,8.05,0.0,24.263077
-17.85,8.15000000000001,0.43,24.784332
-17.85,8.250000000000004,0.53,28.235699
-17.85,8.350000000000012,1.1049999,31.09551
-17.85,8.450000000000006,0.7199999,29.446043
-17.85,8.55,1.42,30.3123
-17.85,8.65000000000001,4.3300004,30.927557
-17.85,8.750000000000004,10.3,26.772144
-17.85,8.850000000000012,19.005003,26.323767
-17.85,8.950000000000006,21.114998,24.913982
-17.85,9.05,22.085,24.073183
-17.85,9.15000000000001,19.285,24.348824
-17.85,9.250000000000004,22.610003,23.845076
-17.85,9.350000000000012,34.374996,22.848055
-17.85,9.450000000000006,41.699993,20.59878
-17.85,9.55,44.965008,22.086277
-17.85,9.65000000000001,57.85002,20.910715
-17.85,9.750000000000004,56.459988,19.991026
-17.85,9.850000000000012,48.670017,20.70255
-17.85,9.950000000000006,36.010002,21.63427
-17.85,10.05,24.994995,22.25205
-17.85,10.15000000000001,15.984998,21.997599
-17.85,10.250000000000004,11.234999,20.158188
-17.85,10.350000000000012,9.170001,19.888586
-17.85,10.450000000000006,6.6449986,22.287712
-17.85,10.55,3.8,21.085028
-17.85,10.65000000000001,1.5199999,21.805424
-17.85,10.750000000000004,0.295,19.665428
-17.85,10.850000000000012,0.31499997,20.885937
-17.85,10.950000000000006,0.32,18.175919
-17.85,11.05,0.71500003,16.330133
-17.85,11.15000000000001,1.355,17.064726
-17.85,11.250000000000004,1.99,15.31521
-17.85,11.350000000000012,2.9799995,14.609814
-17.85,11.450000000000006,6.2350006,14.352886
-17.85,11.55,5.2999997,14.077038
-17.85,11.65000000000001,5.5549994,11.660114
-17.85,11.750000000000004,6.1649985,11.956883
-17.85,11.850000000000012,7.56,12.15789
-17.85,11.950000000000006,10.159999,11.084056
-17.85,12.05,5.915,11.055975
-17.85,12.15000000000001,2.0,10.525016
-17.85,12.250000000000004,1.9500002,8.853327
-17.85,12.350000000000012,2.4400005,8.657267
-17.85,12.450000000000006,4.055,7.941848
-17.85,12.55,2.6900003,6.7854667
-17.85,12.65000000000001,4.0650005,6.769184
-17.85,12.750000000000004,0.575,7.0063424
-17.85,12.850000000000012,0.455,6.716585
-17.85,12.950000000000006,0.7900001,6.5442924
-17.85,13.05,0.60999995,6.549026
-17.85,13.15000000000001,0.16999997,6.3534055
-17.85,13.250000000000004,0.074999996,6.160306
-17.85,13.350000000000012,0.089999996,6.7114244
-17.85,13.450000000000006,0.095,7.6866245
-17.85,13.55,0.049999997,6.876811
-17.85,13.65000000000001,0.0,5.6269326
-17.85,13.750000000000004,0.0050000004,5.8858757
-17.85,13.850000000000012,0.010000001,4.886286
-17.85,13.950000000000006,0.114999995,4.0168796
-17.85,14.05,0.235,3.9749634
-17.85,14.15000000000001,0.20500003,4.4728937
-17.85,14.250000000000004,0.065,3.7386951
-17.85,14.350000000000012,0.04,3.4582634
-17.85,14.450000000000006,0.0,3.4283302
-17.85,14.55,0.0,2.7512279
-17.85,14.65000000000001,0.0,2.5420847
-17.85,14.750000000000004,0.0,2.3725488
-17.85,14.850000000000012,0.0,2.1116424
-17.85,14.950000000000006,0.0,1.7249423
-17.85,15.05,0.0,1.3553057
-17.85,15.15000000000001,0.0,1.1572834
-17.85,15.250000000000004,0.0,1.2460132
-17.85,15.350000000000012,0.0,1.1144356
-17.85,15.450000000000006,0.0,1.2059134
-17.85,15.55,0.0,1.2527912
-17.85,15.65000000000001,0.0,1.19205
-17.85,15.750000000000004,0.08499999,1.1160123
-17.85,15.850000000000012,0.0,1.067683
-17.85,15.950000000000006,0.0,0.9999143
-17.85,16.05,0.0,0.8451402
-17.85,16.15000000000001,0.0,0.7130179
-17.85,16.250000000000004,0.0,0.6513111
-17.85,16.350000000000012,0.04,0.5789524
-17.85,16.450000000000006,0.0,0.4877495
-17.85,16.55,0.0,0.42806795
-17.85,16.65000000000001,0.0,0.31747898
-17.85,16.750000000000004,0.0,0.26430708
-17.85,16.850000000000012,0.0,0.2668749
-17.85,16.950000000000006,0.0,0.21775086
-17.85,17.05,0.0,0.18938617
-17.85,17.15000000000001,0.0,0.15649751
